SKU,Title,Description,UOM,Unit Price,Qty Available,Active,Attributes JSON,Last Updated
PAPER-A2-140-UNCOATED,A2 Uncoated 140 gsm,"Bright White uncoated paper, A2, 140 gsm, for office and print.",ream,11.1,330,True,"{""size"": ""A2"", ""gsm"": 140, ""finish"": ""Uncoated"", ""color"": ""Bright White""}",2025-08-28T15:29:21
PAPER-A5-75-OFFSET,A5 Offset 75 gsm,"Ivory offset paper, A5, 75 gsm, for office and print.",box,21.66,436,True,"{""size"": ""A5"", ""gsm"": 75, ""finish"": ""Offset"", ""color"": ""Ivory""}",2025-07-31T09:52:30
PAPER-SRA3-170-COATEDGLOSS,SRA3 Coated Gloss 170 gsm,"White coated gloss paper, SRA3, 170 gsm, for office and print.",box,43.13,113,True,"{""size"": ""SRA3"", ""gsm"": 170, ""finish"": ""Coated Gloss"", ""color"": ""White""}",2025-07-02T11:30:58
PAPER-A3-75-COATEDGLOSS,A3 Coated Gloss 75 gsm,"Bright White coated gloss paper, A3, 75 gsm, for office and print.",ream,5.6,141,True,"{""size"": ""A3"", ""gsm"": 75, ""finish"": ""Coated Gloss"", ""color"": ""Bright White""}",2025-07-01T06:24:18
PAPER-A4-170-COPY,A4 Copy 170 gsm,"Recycled copy paper, A4, 170 gsm, for office and print.",box,31.87,315,True,"{""size"": ""A4"", ""gsm"": 170, ""finish"": ""Copy"", ""color"": ""Recycled""}",2025-07-28T18:03:40
PAPER-A2-170-COPY,A2 Copy 170 gsm,"Recycled copy paper, A2, 170 gsm, for office and print.",ream,11.8,248,True,"{""size"": ""A2"", ""gsm"": 170, ""finish"": ""Copy"", ""color"": ""Recycled""}",2025-07-11T20:53:51
PAPER-A5-90-UNCOATED,A5 Uncoated 90 gsm,"White uncoated paper, A5, 90 gsm, for office and print.",ream,4.72,447,True,"{""size"": ""A5"", ""gsm"": 90, ""finish"": ""Uncoated"", ""color"": ""White""}",2025-09-07T16:45:29
PAPER-A4-250-COATEDMATTE,A4 Coated Matte 250 gsm,"Ivory coated matte paper, A4, 250 gsm, for office and print.",ream,8.99,263,True,"{""size"": ""A4"", ""gsm"": 250, ""finish"": ""Coated Matte"", ""color"": ""Ivory""}",2025-06-18T07:48:52
PAPER-A4-300-COATEDGLOSS,A4 Coated Gloss 300 gsm,"Bright White coated gloss paper, A4, 300 gsm, for office and print.",sheet,0.6595,188,True,"{""size"": ""A4"", ""gsm"": 300, ""finish"": ""Coated Gloss"", ""color"": ""Bright White""}",2025-09-04T04:37:03
PAPER-A5-90-OFFSET,A5 Offset 90 gsm,"White offset paper, A5, 90 gsm, for office and print.",ream,4.81,619,True,"{""size"": ""A5"", ""gsm"": 90, ""finish"": ""Offset"", ""color"": ""White""}",2025-06-19T12:26:28
PAPER-A5-300-CARDSTOCK,A5 Cardstock 300 gsm,"White cardstock paper, A5, 300 gsm, for office and print.",ream,7.61,366,True,"{""size"": ""A5"", ""gsm"": 300, ""finish"": ""Cardstock"", ""color"": ""White""}",2025-05-13T06:53:57
PAPER-A4-100-CARDSTOCK,A4 Cardstock 100 gsm,"Bright White cardstock paper, A4, 100 gsm, for office and print.",ream,5.32,410,True,"{""size"": ""A4"", ""gsm"": 100, ""finish"": ""Cardstock"", ""color"": ""Bright White""}",2025-09-18T09:09:31
PAPER-SRA3-90-COATEDMATTE,SRA3 Coated Matte 90 gsm,"Bright White coated matte paper, SRA3, 90 gsm, for office and print.",ream,6.71,186,True,"{""size"": ""SRA3"", ""gsm"": 90, ""finish"": ""Coated Matte"", ""color"": ""Bright White""}",2025-08-11T03:08:49
PAPER-SRA3-300-COPY,SRA3 Copy 300 gsm,"White copy paper, SRA3, 300 gsm, for office and print.",ream,15.26,318,True,"{""size"": ""SRA3"", ""gsm"": 300, ""finish"": ""Copy"", ""color"": ""White""}",2025-05-21T21:13:57
PAPER-A4-90-UNCOATED,A4 Uncoated 90 gsm,"Bright White uncoated paper, A4, 90 gsm, for office and print.",ream,5.17,416,True,"{""size"": ""A4"", ""gsm"": 90, ""finish"": ""Uncoated"", ""color"": ""Bright White""}",2025-05-14T04:18:48
PAPER-A2-75-COPY,A2 Copy 75 gsm,"White copy paper, A2, 75 gsm, for office and print.",pallet,598.08,0,True,"{""size"": ""A2"", ""gsm"": 75, ""finish"": ""Copy"", ""color"": ""White""}",2025-06-06T02:58:35
PAPER-SRA3-160-OFFSET,SRA3 Offset 160 gsm,"Bright White offset paper, SRA3, 160 gsm, for office and print.",pallet,622.28,76,False,"{""size"": ""SRA3"", ""gsm"": 160, ""finish"": ""Offset"", ""color"": ""Bright White""}",2025-08-01T21:50:06
PAPER-SRA3-100-COATEDMATTE,SRA3 Coated Matte 100 gsm,"Bright White coated matte paper, SRA3, 100 gsm, for office and print.",ream,7.27,309,True,"{""size"": ""SRA3"", ""gsm"": 100, ""finish"": ""Coated Matte"", ""color"": ""Bright White""}",2025-09-20T07:55:12
PAPER-A5-300-COATEDGLOSS,A5 Coated Gloss 300 gsm,"White coated gloss paper, A5, 300 gsm, for office and print.",ream,7.23,356,True,"{""size"": ""A5"", ""gsm"": 300, ""finish"": ""Coated Gloss"", ""color"": ""White""}",2025-09-06T17:54:41
PAPER-A5-170-COPY,A5 Copy 170 gsm,"Ivory copy paper, A5, 170 gsm, for office and print.",ream,5.3,309,True,"{""size"": ""A5"", ""gsm"": 170, ""finish"": ""Copy"", ""color"": ""Ivory""}",2025-08-05T16:32:39
PAPER-A2-90-UNCOATED,A2 Uncoated 90 gsm,"White uncoated paper, A2, 90 gsm, for office and print.",box,36.05,677,True,"{""size"": ""A2"", ""gsm"": 90, ""finish"": ""Uncoated"", ""color"": ""White""}",2025-09-04T23:41:53
PAPER-A3-90-CARDSTOCK,A3 Cardstock 90 gsm,"Recycled cardstock paper, A3, 90 gsm, for office and print.",ream,6.44,397,True,"{""size"": ""A3"", ""gsm"": 90, ""finish"": ""Cardstock"", ""color"": ""Recycled""}",2025-07-10T04:49:35
PAPER-A3-75-COPY,A3 Copy 75 gsm,"Bright White copy paper, A3, 75 gsm, for office and print.",box,28.01,241,True,"{""size"": ""A3"", ""gsm"": 75, ""finish"": ""Copy"", ""color"": ""Bright White""}",2025-09-08T19:56:24
PAPER-A2-100-OFFSET,A2 Offset 100 gsm,"Recycled offset paper, A2, 100 gsm, for office and print.",pallet,632.76,143,True,"{""size"": ""A2"", ""gsm"": 100, ""finish"": ""Offset"", ""color"": ""Recycled""}",2025-06-04T04:07:59
PAPER-A2-300-COATEDGLOSS,A2 Coated Gloss 300 gsm,"White coated gloss paper, A2, 300 gsm, for office and print.",box,78.39,216,True,"{""size"": ""A2"", ""gsm"": 300, ""finish"": ""Coated Gloss"", ""color"": ""White""}",2025-05-20T17:04:07
PAPER-A3-75-COPY-T,A3 Copy 75 gsm,"Ivory copy paper, A3, 75 gsm, for office and print.",ream,5.79,431,True,"{""size"": ""A3"", ""gsm"": 75, ""finish"": ""Copy"", ""color"": ""Ivory""}",2025-10-17T11:16:16
PAPER-A3-170-COATEDMATTE,A3 Coated Matte 170 gsm,"Recycled coated matte paper, A3, 170 gsm, for office and print.",pallet,643.97,0,True,"{""size"": ""A3"", ""gsm"": 170, ""finish"": ""Coated Matte"", ""color"": ""Recycled""}",2025-08-10T22:15:11
PAPER-A5-70-COATEDGLOSS,A5 Coated Gloss 70 gsm,"Ivory coated gloss paper, A5, 70 gsm, for office and print.",box,21.01,200,True,"{""size"": ""A5"", ""gsm"": 70, ""finish"": ""Coated Gloss"", ""color"": ""Ivory""}",2025-09-13T03:45:03
PAPER-A2-70-COPY,A2 Copy 70 gsm,"White copy paper, A2, 70 gsm, for office and print.",pallet,576.46,49,True,"{""size"": ""A2"", ""gsm"": 70, ""finish"": ""Copy"", ""color"": ""White""}",2025-05-04T01:37:19
PAPER-A2-170-OFFSET,A2 Offset 170 gsm,"Bright White offset paper, A2, 170 gsm, for office and print.",ream,11.98,510,True,"{""size"": ""A2"", ""gsm"": 170, ""finish"": ""Offset"", ""color"": ""Bright White""}",2025-05-05T01:12:24
PAPER-A4-250-OFFSET,A4 Offset 250 gsm,"White offset paper, A4, 250 gsm, for office and print.",ream,8.7,425,True,"{""size"": ""A4"", ""gsm"": 250, ""finish"": ""Offset"", ""color"": ""White""}",2025-09-29T17:48:23
PAPER-A4-80-OFFSET,A4 Offset 80 gsm,"Bright White offset paper, A4, 80 gsm, for office and print.",ream,5.46,382,True,"{""size"": ""A4"", ""gsm"": 80, ""finish"": ""Offset"", ""color"": ""Bright White""}",2025-08-07T21:12:53
PAPER-A3-80-CARDSTOCK,A3 Cardstock 80 gsm,"White cardstock paper, A3, 80 gsm, for office and print.",ream,5.79,354,True,"{""size"": ""A3"", ""gsm"": 80, ""finish"": ""Cardstock"", ""color"": ""White""}",2025-06-15T04:56:18
PAPER-A3-100-OFFSET-G,A3 Offset 100 gsm,"Ivory offset paper, A3, 100 gsm, for office and print.",ream,6.76,178,True,"{""size"": ""A3"", ""gsm"": 100, ""finish"": ""Offset"", ""color"": ""Ivory""}",2025-05-11T22:20:31
PAPER-A3-250-UNCOATED,A3 Uncoated 250 gsm,"Bright White uncoated paper, A3, 250 gsm, for office and print.",box,51.11,292,True,"{""size"": ""A3"", ""gsm"": 250, ""finish"": ""Uncoated"", ""color"": ""Bright White""}",2025-05-01T16:22:44
PAPER-A3-80-UNCOATED,A3 Uncoated 80 gsm,"Recycled uncoated paper, A3, 80 gsm, for office and print.",ream,6.3,330,True,"{""size"": ""A3"", ""gsm"": 80, ""finish"": ""Uncoated"", ""color"": ""Recycled""}",2025-07-14T04:04:05
PAPER-A2-170-COPY-G,A2 Copy 170 gsm,"Bright White copy paper, A2, 170 gsm, for office and print.",pallet,700.28,178,True,"{""size"": ""A2"", ""gsm"": 170, ""finish"": ""Copy"", ""color"": ""Bright White""}",2025-04-25T07:06:32
PAPER-A2-250-CARDSTOCK,A2 Cardstock 250 gsm,"Ivory cardstock paper, A2, 250 gsm, for office and print.",ream,15.76,451,True,"{""size"": ""A2"", ""gsm"": 250, ""finish"": ""Cardstock"", ""color"": ""Ivory""}",2025-07-18T10:52:04
PAPER-A3-250-COPY,A3 Copy 250 gsm,"Recycled copy paper, A3, 250 gsm, for office and print.",ream,11.8,135,True,"{""size"": ""A3"", ""gsm"": 250, ""finish"": ""Copy"", ""color"": ""Recycled""}",2025-10-19T22:56:38
PAPER-A2-80-OFFSET,A2 Offset 80 gsm,"Bright White offset paper, A2, 80 gsm, for office and print.",box,33.95,448,True,"{""size"": ""A2"", ""gsm"": 80, ""finish"": ""Offset"", ""color"": ""Bright White""}",2025-06-08T10:35:22
PAPER-A2-100-COATEDMATTE,A2 Coated Matte 100 gsm,"White coated matte paper, A2, 100 gsm, for office and print.",ream,8.39,342,True,"{""size"": ""A2"", ""gsm"": 100, ""finish"": ""Coated Matte"", ""color"": ""White""}",2025-09-27T12:00:59
PAPER-A3-160-COATEDMATTE,A3 Coated Matte 160 gsm,"Bright White coated matte paper, A3, 160 gsm, for office and print.",box,38.76,298,True,"{""size"": ""A3"", ""gsm"": 160, ""finish"": ""Coated Matte"", ""color"": ""Bright White""}",2025-06-07T12:10:02
PAPER-A5-100-UNCOATED,A5 Uncoated 100 gsm,"Recycled uncoated paper, A5, 100 gsm, for office and print.",ream,5.26,491,True,"{""size"": ""A5"", ""gsm"": 100, ""finish"": ""Uncoated"", ""color"": ""Recycled""}",2025-07-12T20:21:30
PAPER-A4-80-COPY,A4 Copy 80 gsm,"White copy paper, A4, 80 gsm, for office and print.",ream,5.23,554,True,"{""size"": ""A4"", ""gsm"": 80, ""finish"": ""Copy"", ""color"": ""White""}",2025-05-13T04:45:38
PAPER-SRA3-250-UNCOATED,SRA3 Uncoated 250 gsm,"Ivory uncoated paper, SRA3, 250 gsm, for office and print.",box,55.96,539,True,"{""size"": ""SRA3"", ""gsm"": 250, ""finish"": ""Uncoated"", ""color"": ""Ivory""}",2025-06-01T12:03:56
PAPER-A5-75-COATEDMATTE,A5 Coated Matte 75 gsm,"Ivory coated matte paper, A5, 75 gsm, for office and print.",ream,4.96,274,True,"{""size"": ""A5"", ""gsm"": 75, ""finish"": ""Coated Matte"", ""color"": ""Ivory""}",2025-05-07T08:28:26
PAPER-A4-75-COATEDMATTE,A4 Coated Matte 75 gsm,"Ivory coated matte paper, A4, 75 gsm, for office and print.",box,24.67,353,True,"{""size"": ""A4"", ""gsm"": 75, ""finish"": ""Coated Matte"", ""color"": ""Ivory""}",2025-09-23T23:43:54
PAPER-SRA3-200-CARDSTOCK,SRA3 Cardstock 200 gsm,"Bright White cardstock paper, SRA3, 200 gsm, for office and print.",box,48.77,449,True,"{""size"": ""SRA3"", ""gsm"": 200, ""finish"": ""Cardstock"", ""color"": ""Bright White""}",2025-08-24T04:33:57
PAPER-A3-90-CARDSTOCK-Q,A3 Cardstock 90 gsm,"Recycled cardstock paper, A3, 90 gsm, for office and print.",box,29.73,546,True,"{""size"": ""A3"", ""gsm"": 90, ""finish"": ""Cardstock"", ""color"": ""Recycled""}",2025-08-14T15:00:01
PAPER-A3-90-COATEDGLOSS,A3 Coated Gloss 90 gsm,"Recycled coated gloss paper, A3, 90 gsm, for office and print.",ream,6.57,328,True,"{""size"": ""A3"", ""gsm"": 90, ""finish"": ""Coated Gloss"", ""color"": ""Recycled""}",2025-06-23T02:07:31
PAPER-A4-300-OFFSET,A4 Offset 300 gsm,"White offset paper, A4, 300 gsm, for office and print.",ream,9.5,372,True,"{""size"": ""A4"", ""gsm"": 300, ""finish"": ""Offset"", ""color"": ""White""}",2025-05-09T19:42:36
PAPER-SRA3-140-UNCOATED,SRA3 Uncoated 140 gsm,"White uncoated paper, SRA3, 140 gsm, for office and print.",pallet,635.54,0,True,"{""size"": ""SRA3"", ""gsm"": 140, ""finish"": ""Uncoated"", ""color"": ""White""}",2025-04-26T00:59:11
PAPER-A3-140-COATEDMATTE,A3 Coated Matte 140 gsm,"Ivory coated matte paper, A3, 140 gsm, for office and print.",ream,7.93,220,True,"{""size"": ""A3"", ""gsm"": 140, ""finish"": ""Coated Matte"", ""color"": ""Ivory""}",2025-08-02T00:25:03
PAPER-SRA3-300-OFFSET,SRA3 Offset 300 gsm,"Bright White offset paper, SRA3, 300 gsm, for office and print.",pallet,830.84,141,True,"{""size"": ""SRA3"", ""gsm"": 300, ""finish"": ""Offset"", ""color"": ""Bright White""}",2025-08-03T09:43:46
PAPER-A2-250-COPY,A2 Copy 250 gsm,"White copy paper, A2, 250 gsm, for office and print.",box,67.34,603,True,"{""size"": ""A2"", ""gsm"": 250, ""finish"": ""Copy"", ""color"": ""White""}",2025-05-06T21:39:05
PAPER-SRA3-120-OFFSET,SRA3 Offset 120 gsm,"Bright White offset paper, SRA3, 120 gsm, for office and print.",ream,8.45,389,True,"{""size"": ""SRA3"", ""gsm"": 120, ""finish"": ""Offset"", ""color"": ""Bright White""}",2025-08-09T21:21:51
PAPER-A5-160-COPY,A5 Copy 160 gsm,"White copy paper, A5, 160 gsm, for office and print.",sheet,0.2425,550,True,"{""size"": ""A5"", ""gsm"": 160, ""finish"": ""Copy"", ""color"": ""White""}",2025-10-07T13:38:42
PAPER-A5-90-OFFSET-H,A5 Offset 90 gsm,"White offset paper, A5, 90 gsm, for office and print.",box,21.64,454,True,"{""size"": ""A5"", ""gsm"": 90, ""finish"": ""Offset"", ""color"": ""White""}",2025-09-15T20:06:55
PAPER-SRA3-300-COATEDGLOSS,SRA3 Coated Gloss 300 gsm,"Recycled coated gloss paper, SRA3, 300 gsm, for office and print.",ream,15.15,303,True,"{""size"": ""SRA3"", ""gsm"": 300, ""finish"": ""Coated Gloss"", ""color"": ""Recycled""}",2025-05-23T18:08:31
PAPER-A3-75-UNCOATED,A3 Uncoated 75 gsm,"White uncoated paper, A3, 75 gsm, for office and print.",pallet,536.55,74,True,"{""size"": ""A3"", ""gsm"": 75, ""finish"": ""Uncoated"", ""color"": ""White""}",2025-07-30T02:37:16
PAPER-A4-75-UNCOATED,A4 Uncoated 75 gsm,"Ivory uncoated paper, A4, 75 gsm, for office and print.",ream,5.4,630,True,"{""size"": ""A4"", ""gsm"": 75, ""finish"": ""Uncoated"", ""color"": ""Ivory""}",2025-09-24T16:35:12
PAPER-A2-70-COATEDGLOSS,A2 Coated Gloss 70 gsm,"Bright White coated gloss paper, A2, 70 gsm, for office and print.",box,31.17,394,True,"{""size"": ""A2"", ""gsm"": 70, ""finish"": ""Coated Gloss"", ""color"": ""Bright White""}",2025-04-28T03:28:23
PAPER-SRA3-75-COATEDMATTE,SRA3 Coated Matte 75 gsm,"Recycled coated matte paper, SRA3, 75 gsm, for office and print.",box,30.47,634,True,"{""size"": ""SRA3"", ""gsm"": 75, ""finish"": ""Coated Matte"", ""color"": ""Recycled""}",2025-08-13T18:35:32
PAPER-A2-250-COATEDGLOSS,A2 Coated Gloss 250 gsm,"Bright White coated gloss paper, A2, 250 gsm, for office and print.",ream,16.44,7,True,"{""size"": ""A2"", ""gsm"": 250, ""finish"": ""Coated Gloss"", ""color"": ""Bright White""}",2025-07-15T21:07:03
PAPER-A5-100-COATEDMATTE,A5 Coated Matte 100 gsm,"Ivory coated matte paper, A5, 100 gsm, for office and print.",box,23.22,523,True,"{""size"": ""A5"", ""gsm"": 100, ""finish"": ""Coated Matte"", ""color"": ""Ivory""}",2025-07-19T13:13:27
PAPER-SRA3-120-OFFSET-Z,SRA3 Offset 120 gsm,"Bright White offset paper, SRA3, 120 gsm, for office and print.",ream,7.99,413,True,"{""size"": ""SRA3"", ""gsm"": 120, ""finish"": ""Offset"", ""color"": ""Bright White""}",2025-09-23T22:14:17
PAPER-A2-70-UNCOATED,A2 Uncoated 70 gsm,"Ivory uncoated paper, A2, 70 gsm, for office and print.",ream,7.35,355,True,"{""size"": ""A2"", ""gsm"": 70, ""finish"": ""Uncoated"", ""color"": ""Ivory""}",2025-06-25T05:30:48
PAPER-SRA3-160-COPY,SRA3 Copy 160 gsm,"White copy paper, SRA3, 160 gsm, for office and print.",ream,9.64,413,True,"{""size"": ""SRA3"", ""gsm"": 160, ""finish"": ""Copy"", ""color"": ""White""}",2025-10-11T09:21:11
PAPER-A3-160-UNCOATED,A3 Uncoated 160 gsm,"Recycled uncoated paper, A3, 160 gsm, for office and print.",ream,8.99,101,True,"{""size"": ""A3"", ""gsm"": 160, ""finish"": ""Uncoated"", ""color"": ""Recycled""}",2025-10-21T04:41:59
PAPER-A3-100-COATEDGLOSS,A3 Coated Gloss 100 gsm,"Ivory coated gloss paper, A3, 100 gsm, for office and print.",ream,6.57,367,True,"{""size"": ""A3"", ""gsm"": 100, ""finish"": ""Coated Gloss"", ""color"": ""Ivory""}",2025-09-08T18:55:13
PAPER-A4-90-CARDSTOCK,A4 Cardstock 90 gsm,"Bright White cardstock paper, A4, 90 gsm, for office and print.",ream,5.53,453,True,"{""size"": ""A4"", ""gsm"": 90, ""finish"": ""Cardstock"", ""color"": ""Bright White""}",2025-09-23T22:28:59
PAPER-A5-90-COATEDGLOSS,A5 Coated Gloss 90 gsm,"Ivory coated gloss paper, A5, 90 gsm, for office and print.",ream,4.55,621,True,"{""size"": ""A5"", ""gsm"": 90, ""finish"": ""Coated Gloss"", ""color"": ""Ivory""}",2025-05-26T22:10:00
PAPER-A5-70-UNCOATED,A5 Uncoated 70 gsm,"Recycled uncoated paper, A5, 70 gsm, for office and print.",box,20.68,322,True,"{""size"": ""A5"", ""gsm"": 70, ""finish"": ""Uncoated"", ""color"": ""Recycled""}",2025-08-27T15:54:52
PAPER-A5-200-COATEDGLOSS,A5 Coated Gloss 200 gsm,"Bright White coated gloss paper, A5, 200 gsm, for office and print.",ream,5.91,278,True,"{""size"": ""A5"", ""gsm"": 200, ""finish"": ""Coated Gloss"", ""color"": ""Bright White""}",2025-06-28T05:34:22
PAPER-A5-75-COATEDMATTE-U,A5 Coated Matte 75 gsm,"Bright White coated matte paper, A5, 75 gsm, for office and print.",ream,4.72,324,True,"{""size"": ""A5"", ""gsm"": 75, ""finish"": ""Coated Matte"", ""color"": ""Bright White""}",2025-09-15T23:14:30
PAPER-A5-90-COPY-Z,A5 Copy 90 gsm,"Bright White copy paper, A5, 90 gsm, for office and print.",box,22.87,537,True,"{""size"": ""A5"", ""gsm"": 90, ""finish"": ""Copy"", ""color"": ""Bright White""}",2025-07-31T04:34:55
PAPER-SRA3-100-UNCOATED,SRA3 Uncoated 100 gsm,"Bright White uncoated paper, SRA3, 100 gsm, for office and print.",ream,7.56,449,True,"{""size"": ""SRA3"", ""gsm"": 100, ""finish"": ""Uncoated"", ""color"": ""Bright White""}",2025-05-19T19:44:41
PAPER-A4-100-CARDSTOCK-F,A4 Cardstock 100 gsm,"White cardstock paper, A4, 100 gsm, for office and print.",ream,5.7,320,True,"{""size"": ""A4"", ""gsm"": 100, ""finish"": ""Cardstock"", ""color"": ""White""}",2025-08-07T04:34:54
PAPER-A2-160-COATEDGLOSS,A2 Coated Gloss 160 gsm,"White coated gloss paper, A2, 160 gsm, for office and print.",ream,11.84,476,True,"{""size"": ""A2"", ""gsm"": 160, ""finish"": ""Coated Gloss"", ""color"": ""White""}",2025-08-18T14:46:15
PAPER-A4-100-CARDSTOCK-R,A4 Cardstock 100 gsm,"Ivory cardstock paper, A4, 100 gsm, for office and print.",ream,5.4,414,True,"{""size"": ""A4"", ""gsm"": 100, ""finish"": ""Cardstock"", ""color"": ""Ivory""}",2025-07-01T17:21:29
PAPER-A5-70-OFFSET,A5 Offset 70 gsm,"Recycled offset paper, A5, 70 gsm, for office and print.",box,22.42,545,True,"{""size"": ""A5"", ""gsm"": 70, ""finish"": ""Offset"", ""color"": ""Recycled""}",2025-08-14T16:42:25
PAPER-SRA3-300-COATEDGLOSS-Q,SRA3 Coated Gloss 300 gsm,"Bright White coated gloss paper, SRA3, 300 gsm, for office and print.",pallet,804.4,0,True,"{""size"": ""SRA3"", ""gsm"": 300, ""finish"": ""Coated Gloss"", ""color"": ""Bright White""}",2025-09-24T13:37:50
PAPER-SRA3-300-COATEDGLOSS-H,SRA3 Coated Gloss 300 gsm,"Recycled coated gloss paper, SRA3, 300 gsm, for office and print.",ream,15.47,350,True,"{""size"": ""SRA3"", ""gsm"": 300, ""finish"": ""Coated Gloss"", ""color"": ""Recycled""}",2025-09-19T09:33:21
PAPER-A5-250-COATEDGLOSS,A5 Coated Gloss 250 gsm,"White coated gloss paper, A5, 250 gsm, for office and print.",box,29.44,341,True,"{""size"": ""A5"", ""gsm"": 250, ""finish"": ""Coated Gloss"", ""color"": ""White""}",2025-08-15T22:18:24
PAPER-A4-200-COATEDMATTE,A4 Coated Matte 200 gsm,"Bright White coated matte paper, A4, 200 gsm, for office and print.",pallet,578.2,0,True,"{""size"": ""A4"", ""gsm"": 200, ""finish"": ""Coated Matte"", ""color"": ""Bright White""}",2025-07-15T15:59:16
PAPER-A4-120-COATEDMATTE,A4 Coated Matte 120 gsm,"Bright White coated matte paper, A4, 120 gsm, for office and print.",ream,6.45,444,True,"{""size"": ""A4"", ""gsm"": 120, ""finish"": ""Coated Matte"", ""color"": ""Bright White""}",2025-09-11T13:30:55
PAPER-SRA3-75-COATEDGLOSS,SRA3 Coated Gloss 75 gsm,"Recycled coated gloss paper, SRA3, 75 gsm, for office and print.",ream,6.92,439,True,"{""size"": ""SRA3"", ""gsm"": 75, ""finish"": ""Coated Gloss"", ""color"": ""Recycled""}",2025-09-02T12:13:16
PAPER-A2-160-COATEDMATTE,A2 Coated Matte 160 gsm,"White coated matte paper, A2, 160 gsm, for office and print.",ream,11.53,400,True,"{""size"": ""A2"", ""gsm"": 160, ""finish"": ""Coated Matte"", ""color"": ""White""}",2025-10-02T04:16:25
PAPER-A5-90-COATEDGLOSS-O,A5 Coated Gloss 90 gsm,"Ivory coated gloss paper, A5, 90 gsm, for office and print.",pallet,515.25,0,True,"{""size"": ""A5"", ""gsm"": 90, ""finish"": ""Coated Gloss"", ""color"": ""Ivory""}",2025-05-02T11:07:04
PAPER-A2-90-CARDSTOCK,A2 Cardstock 90 gsm,"Ivory cardstock paper, A2, 90 gsm, for office and print.",ream,7.71,187,True,"{""size"": ""A2"", ""gsm"": 90, ""finish"": ""Cardstock"", ""color"": ""Ivory""}",2025-06-20T16:18:37
PAPER-SRA3-75-CARDSTOCK,SRA3 Cardstock 75 gsm,"Ivory cardstock paper, SRA3, 75 gsm, for office and print.",ream,6.69,336,True,"{""size"": ""SRA3"", ""gsm"": 75, ""finish"": ""Cardstock"", ""color"": ""Ivory""}",2025-07-03T03:18:25
