Line ID,Order,Product,Requested Text,Qty,UOM,Unit Price,Line Total,Match Score,Notes
16,O-2025-0016,PAPER-A2-250-OFFSET,A2 Offset 250 gsm Recycled qty 99 boxs,99,box,68.25,6756.75,0.965,manual review suggested
17,O-2025-0017,PAPER-SRA3-90-COATEDGLOSS,SRA3 Coated Gloss 90 gsm Ivory qty 35 reams,35,ream,7.27,254.45,0.758,manual review suggested
18,O-2025-0018,PAPER-A4-300-UNCOATED,A4 Uncoated 300 gsm Ivory qty 70 boxs,70,box,41.11,2877.7,0.974,
19,O-2025-0019,PAPER-A2-80-COATEDGLOSS-E,A2 Coated Gloss 80 gsm White qty 40 boxs,40,box,35.29,1411.6,0.896,
20,O-2025-0020,PAPER-A2-170-OFFSET,A2 Offset 170 gsm Bright White qty 26 reams,26,ream,11.98,311.48,0.963,auto-mapped
21,O-2025-0021,PAPER-A3-120-COATEDGLOSS,A3 Coated Gloss 120 gsm White qty 22 reams,22,ream,7.17,157.74,0.751,
22,O-2025-0022,PAPER-SRA3-100-UNCOATED,SRA3 Uncoated 100 gsm Bright White qty 48 reams,48,ream,7.56,362.88,0.84,manual review suggested
23,O-2025-0023,PAPER-A2-80-OFFSET-B,A2 Offset 80 gsm Bright White qty 18 reams,18,ream,7.95,143.1,0.799,
24,O-2025-0024,PAPER-SRA3-170-COATEDMATTE-H,SRA3 Coated Matte 170 gsm Bright White qty 61 boxs,61,box,44.03,2685.83,0.901,
25,O-2025-0025,PAPER-A2-120-COPY,A2 Copy 120 gsm Bright White qty 16 reams,16,ream,9.68,154.88,0.859,
26,O-2025-0026,PAPER-A5-300-COPY,A5 Copy 300 gsm Bright White qty 50 reams,50,ream,7.13,356.5,0.874,
27,O-2025-0027,PAPER-A5-100-UNCOATED-K,A5 Uncoated 100 gsm White qty 8 pallets,8,pallet,483.07,3864.56,0.923,auto-mapped
28,O-2025-0028,PAPER-SRA3-100-COATEDGLOSS,SRA3 Coated Gloss 100 gsm Bright White qty 76 boxs,76,box,34.33,2609.08,0.82,
29,O-2025-0029,PAPER-A2-90-COATEDMATTE,A2 Coated Matte 90 gsm Recycled qty 34 reams,34,ream,8.2,278.8,0.881,
30,O-2025-0030,PAPER-SRA3-75-COATEDGLOSS,SRA3 Coated Gloss 75 gsm Recycled qty 9 reams,9,ream,6.92,62.28,0.958,
31,O-2025-0031,PAPER-A4-80-CARDSTOCK-P,A4 Cardstock 80 gsm Recycled qty 14 rolls,14,roll,42.02,588.28,0.888,manual review suggested
32,O-2025-0032,PAPER-A5-90-COATEDGLOSS-O,A5 Coated Gloss 90 gsm Ivory qty 2 pallets,2,pallet,515.25,1030.5,0.925,
33,O-2025-0033,PAPER-A5-80-UNCOATED-Q,A5 Uncoated 80 gsm Ivory qty 47 boxs,47,box,22.99,1080.53,0.941,auto-mapped
34,O-2025-0034,PAPER-A5-90-COATEDGLOSS,A5 Coated Gloss 90 gsm Ivory qty 25 reams,25,ream,4.55,113.75,0.916,manual review suggested
35,O-2025-0035,PAPER-A3-140-COPY-Y,A3 Copy 140 gsm Recycled qty 38 reams,38,ream,7.76,294.88,0.938,
36,O-2025-0036,PAPER-A2-170-COPY,A2 Copy 170 gsm Recycled qty 37 reams,37,ream,11.8,436.6,0.951,auto-mapped
37,O-2025-0037,PAPER-A3-90-COPY-Y,A3 Copy 90 gsm Ivory qty 32 reams,32,ream,6.61,211.52,0.955,manual review suggested
38,O-2025-0038,PAPER-A2-300-COATEDGLOSS,A2 Coated Gloss 300 gsm White qty 43 boxs,43,box,78.39,3370.77,0.95,
39,O-2025-0039,PAPER-A5-160-COPY-E,A5 Copy 160 gsm Bright White qty 12 reams,12,ream,5.49,65.88,0.966,auto-mapped
40,O-2025-0040,PAPER-A2-70-COATEDGLOSS,A2 Coated Gloss 70 gsm Bright White qty 33 boxs,33,box,31.17,1028.61,0.791,
41,O-2025-0041,PAPER-A5-80-OFFSET,A5 Offset 80 gsm Ivory qty 5 boxs,5,box,21.46,107.3,0.826,manual review suggested
42,O-2025-0042,PAPER-A3-250-COPY,A3 Copy 250 gsm Recycled qty 35 reams,35,ream,11.8,413.0,0.863,
43,O-2025-0043,PAPER-A4-300-OFFSET-I,A4 Offset 300 gsm Recycled qty 8 reams,8,ream,9.28,74.24,0.933,
44,O-2025-0044,PAPER-A2-250-COATEDMATTE-Y,A2 Coated Matte 250 gsm Ivory qty 45 boxs,45,box,67.9,3055.5,0.926,auto-mapped
45,O-2025-0045,PAPER-A3-300-OFFSET-E,A3 Offset 300 gsm Bright White qty 14 reams,14,ream,13.32,186.48,0.879,
46,O-2025-0046,PAPER-SRA3-80-COATEDGLOSS-I,SRA3 Coated Gloss 80 gsm Ivory qty 9 pallets,9,pallet,537.99,4841.91,0.904,
47,O-2025-0047,PAPER-A3-90-COATEDGLOSS,A3 Coated Gloss 90 gsm Recycled qty 38 reams,38,ream,6.57,249.66,0.822,
48,O-2025-0048,PAPER-A2-70-COPY-P,A2 Copy 70 gsm Ivory qty 28 reams,28,ream,7.47,209.16,0.805,manual review suggested
49,O-2025-0049,PAPER-SRA3-300-COATEDGLOSS-B,SRA3 Coated Gloss 300 gsm White qty 47 reams,47,ream,14.76,693.72,0.838,
50,O-2025-0050,PAPER-A5-100-COATEDMATTE-F,A5 Coated Matte 100 gsm Bright White qty 6 reams,6,ream,5.13,30.78,0.918,auto-mapped
51,O-2025-0051,PAPER-A3-120-COATEDGLOSS-Y,A3 Coated Gloss 120 gsm Ivory qty 30 reams,30,ream,7.83,234.9,0.822,manual review suggested
52,O-2025-0052,PAPER-A4-120-CARDSTOCK,A4 Cardstock 120 gsm Ivory qty 13 reams,13,ream,6.45,83.85,0.962,
53,O-2025-0053,PAPER-A5-100-OFFSET,A5 Offset 100 gsm Ivory qty 30 reams,30,ream,4.75,142.5,0.894,manual review suggested
54,O-2025-0054,PAPER-SRA3-120-OFFSET-H,SRA3 Offset 120 gsm White qty 22 reams,22,ream,8.16,179.52,0.882,
55,O-2025-0055,PAPER-SRA3-200-COATEDMATTE-J,SRA3 Coated Matte 200 gsm White qty 26 reams,26,ream,11.47,298.22,0.803,manual review suggested
56,O-2025-0056,PAPER-SRA3-300-COPY-W,SRA3 Copy 300 gsm Ivory qty 31 reams,31,ream,14.8,458.8,0.838,manual review suggested
57,O-2025-0057,PAPER-A3-120-UNCOATED,A3 Uncoated 120 gsm Ivory qty 41 reams,41,ream,7.2,295.2,0.836,
58,O-2025-0058,PAPER-A3-170-UNCOATED-G,A3 Uncoated 170 gsm Bright White qty 15 reams,15,ream,8.94,134.1,0.957,manual review suggested
59,O-2025-0059,PAPER-A2-80-COATEDGLOSS,A2 Coated Gloss 80 gsm Recycled qty 9 pallets,9,pallet,573.24,5159.16,0.879,manual review suggested
60,O-2025-0060,PAPER-A3-160-COPY,A3 Copy 160 gsm Recycled qty 8 reams,8,ream,8.94,71.52,0.873,
61,O-2025-0061,PAPER-A3-75-UNCOATED-E,A3 Uncoated 75 gsm Ivory qty 11 rolls,11,roll,42.88,471.68,0.976,manual review suggested
62,O-2025-0062,PAPER-A2-250-COPY,A2 Copy 250 gsm White qty 86 boxs,86,box,67.34,5791.24,0.909,
63,O-2025-0063,PAPER-A5-250-COATEDGLOSS,A5 Coated Gloss 250 gsm White qty 12 boxs,12,box,29.44,353.28,0.925,
64,O-2025-0064,PAPER-A2-70-CARDSTOCK-S,A2 Cardstock 70 gsm White qty 58 boxs,58,box,31.11,1804.38,0.756,manual review suggested
65,O-2025-0065,PAPER-A3-170-OFFSET,A3 Offset 170 gsm White qty 62 boxs,62,box,40.33,2500.46,0.966,manual review suggested
66,O-2025-0066,PAPER-SRA3-160-COATEDGLOSS-P,SRA3 Coated Gloss 160 gsm Bright White qty 31 boxs,31,box,43.32,1342.92,0.977,
67,O-2025-0067,PAPER-A5-80-COATEDGLOSS,A5 Coated Gloss 80 gsm White qty 8 pallets,8,pallet,494.02,3952.16,0.819,manual review suggested
68,O-2025-0068,PAPER-A3-170-UNCOATED-P,A3 Uncoated 170 gsm Ivory qty 6 boxs,6,box,40.73,244.38,0.906,
69,O-2025-0069,PAPER-SRA3-100-OFFSET-W,SRA3 Offset 100 gsm Bright White qty 91 boxs,91,box,34.12,3104.92,0.976,
70,O-2025-0070,PAPER-A5-90-COATEDMATTE-L,A5 Coated Matte 90 gsm Ivory qty 47 reams,47,ream,4.49,211.03,0.795,auto-mapped
71,O-2025-0071,PAPER-A4-100-COATEDMATTE,A4 Coated Matte 100 gsm Bright White qty 44 reams,44,ream,5.56,244.64,0.752,
72,O-2025-0072,PAPER-SRA3-170-COATEDMATTE-H,SRA3 Coated Matte 170 gsm Bright White qty 15 boxs,15,box,44.03,660.45,0.806,
73,O-2025-0073,PAPER-A5-200-COATEDGLOSS-J,A5 Coated Gloss 200 gsm Ivory qty 18 reams,18,ream,5.89,106.02,0.761,
74,O-2025-0074,PAPER-A3-140-CARDSTOCK-I,A3 Cardstock 140 gsm White qty 77 boxs,77,box,36.48,2808.96,0.818,manual review suggested
75,O-2025-0075,PAPER-SRA3-100-COATEDGLOSS-O,SRA3 Coated Gloss 100 gsm Recycled qty 9 reams,9,ream,7.01,63.09,0.881,auto-mapped
76,O-2025-0076,PAPER-A4-300-OFFSET-I,A4 Offset 300 gsm Recycled qty 14 reams,14,ream,9.28,129.92,0.842,
77,O-2025-0077,PAPER-A3-160-COATEDMATTE-J,A3 Coated Matte 160 gsm Recycled qty 65 boxs,65,box,39.21,2548.65,0.935,manual review suggested
78,O-2025-0078,PAPER-A4-200-OFFSET,A4 Offset 200 gsm Recycled qty 41 reams,41,ream,7.63,312.83,0.933,
79,O-2025-0079,PAPER-SRA3-300-UNCOATED,SRA3 Uncoated 300 gsm Bright White qty 33 boxs,33,box,64.6,2131.8,0.801,
80,O-2025-0080,PAPER-A4-140-UNCOATED-C,A4 Uncoated 140 gsm Bright White qty 7 pallets,7,pallet,567.8,3974.6,0.768,manual review suggested
81,O-2025-0081,PAPER-A2-250-CARDSTOCK-V,A2 Cardstock 250 gsm White qty 43 boxs,43,box,69.07,2970.01,0.88,
82,O-2025-0082,PAPER-A2-120-COPY,A2 Copy 120 gsm Bright White qty 8 reams,8,ream,9.68,77.44,0.898,
83,O-2025-0083,PAPER-A3-140-CARDSTOCK-G,A3 Cardstock 140 gsm White qty 3 pallets,3,pallet,612.68,1838.04,0.841,
84,O-2025-0084,PAPER-A2-170-CARDSTOCK,A2 Cardstock 170 gsm Recycled qty 49 reams,49,ream,12.48,611.52,0.905,auto-mapped
85,O-2025-0085,PAPER-A4-170-COPY,A4 Copy 170 gsm Recycled qty 81 boxs,81,box,31.87,2581.47,0.762,
86,O-2025-0086,PAPER-A4-75-COATEDMATTE,A4 Coated Matte 75 gsm Ivory qty 13 boxs,13,box,24.67,320.71,0.917,manual review suggested
87,O-2025-0087,PAPER-A4-170-UNCOATED,A4 Uncoated 170 gsm Ivory qty 7 boxs,7,box,31.34,219.38,0.951,manual review suggested
88,O-2025-0088,PAPER-A2-200-COATEDGLOSS,A2 Coated Gloss 200 gsm Bright White qty 13 reams,13,ream,13.75,178.75,0.827,auto-mapped
89,O-2025-0089,PAPER-A3-160-COPY,A3 Copy 160 gsm Recycled qty 19 reams,19,ream,8.94,169.86,0.907,auto-mapped
90,O-2025-0090,PAPER-A5-80-COATEDGLOSS,A5 Coated Gloss 80 gsm White qty 2 pallets,2,pallet,494.02,988.04,0.969,
91,O-2025-0091,PAPER-SRA3-90-COPY,SRA3 Copy 90 gsm Ivory qty 9 pallets,9,pallet,559.72,5037.48,0.927,manual review suggested
92,O-2025-0092,PAPER-SRA3-90-COATEDGLOSS,SRA3 Coated Gloss 90 gsm Ivory qty 6 reams,6,ream,7.27,43.62,0.965,manual review suggested
93,O-2025-0093,PAPER-A3-250-UNCOATED-L,A3 Uncoated 250 gsm Ivory qty 26 reams,26,ream,12.09,314.34,0.949,manual review suggested
94,O-2025-0094,PAPER-A5-100-CARDSTOCK-J,A5 Cardstock 100 gsm Recycled qty 19 boxs,19,box,23.71,450.49,0.778,
95,O-2025-0095,PAPER-A2-300-UNCOATED-V,A2 Uncoated 300 gsm Ivory qty 16 rolls,16,roll,82.37,1317.92,0.934,
96,O-2025-0096,PAPER-A2-160-COATEDMATTE,A2 Coated Matte 160 gsm White qty 47 reams,47,ream,11.53,541.91,0.917,auto-mapped
97,O-2025-0097,PAPER-A2-70-COATEDGLOSS-G,A2 Coated Gloss 70 gsm White qty 25 reams,25,ream,7.43,185.75,0.961,manual review suggested
98,O-2025-0098,PAPER-A4-120-UNCOATED-O,A4 Uncoated 120 gsm White qty 22 reams,22,ream,5.71,125.62,0.811,manual review suggested
99,O-2025-0099,PAPER-A4-200-OFFSET,A4 Offset 200 gsm Recycled qty 14 reams,14,ream,7.63,106.82,0.809,
100,O-2025-0100,PAPER-A2-200-COATEDMATTE,A2 Coated Matte 200 gsm Recycled qty 39 reams,39,ream,13.45,524.55,0.812,
101,O-2025-0101,PAPER-SRA3-160-OFFSET-O,SRA3 Offset 160 gsm Bright White qty 36 reams,36,ream,9.64,347.04,0.779,
102,O-2025-0102,PAPER-A5-100-COPY,A5 Copy 100 gsm Ivory qty 25 reams,25,ream,5.21,130.25,0.755,manual review suggested
103,O-2025-0103,PAPER-A3-160-UNCOATED-W,A3 Uncoated 160 gsm Recycled qty 32 reams,32,ream,8.61,275.52,0.771,auto-mapped
104,O-2025-0104,PAPER-A5-75-COATEDMATTE-U,A5 Coated Matte 75 gsm Bright White qty 38 reams,38,ream,4.72,179.36,0.765,
105,O-2025-0105,PAPER-A4-160-COPY,A4 Copy 160 gsm Bright White qty 1 pallets,1,pallet,559.44,559.44,0.841,
106,O-2025-0106,PAPER-SRA3-140-CARDSTOCK-O,SRA3 Cardstock 140 gsm Bright White qty 41 reams,41,ream,8.96,367.36,0.915,manual review suggested
107,O-2025-0107,PAPER-A2-90-CARDSTOCK-F,A2 Cardstock 90 gsm Ivory qty 33 reams,33,ream,8.59,283.47,0.808,manual review suggested
108,O-2025-0108,PAPER-A2-100-COATEDMATTE,A2 Coated Matte 100 gsm White qty 14 reams,14,ream,8.39,117.46,0.921,auto-mapped
109,O-2025-0109,PAPER-A5-90-COATEDMATTE,A5 Coated Matte 90 gsm White qty 22 reams,22,ream,4.48,98.56,0.783,
110,O-2025-0110,PAPER-A3-200-COATEDGLOSS-P,A3 Coated Gloss 200 gsm Bright White qty 6 pallets,6,pallet,625.22,3751.32,0.892,auto-mapped
111,O-2025-0111,PAPER-A3-170-OFFSET,A3 Offset 170 gsm White qty 20 boxs,20,box,40.33,806.6,0.878,
112,O-2025-0112,PAPER-A3-250-CARDSTOCK,A3 Cardstock 250 gsm Bright White qty 7 pallets,7,pallet,672.15,4705.05,0.849,
113,O-2025-0113,PAPER-A5-90-OFFSET,A5 Offset 90 gsm White qty 15 reams,15,ream,4.81,72.15,0.955,auto-mapped
114,O-2025-0114,PAPER-SRA3-120-COATEDMATTE-Y,SRA3 Coated Matte 120 gsm White qty 35 reams,35,ream,7.95,278.25,0.936,auto-mapped
115,O-2025-0115,PAPER-A3-80-COATEDGLOSS,A3 Coated Gloss 80 gsm White qty 9 pallets,9,pallet,547.25,4925.25,0.918,auto-mapped
116,O-2025-0116,PAPER-A4-160-UNCOATED-J,A4 Uncoated 160 gsm Bright White qty 10 reams,10,ream,6.85,68.5,0.862,auto-mapped
117,O-2025-0117,PAPER-A4-100-COATEDMATTE,A4 Coated Matte 100 gsm Bright White qty 44 reams,44,ream,5.56,244.64,0.795,
118,O-2025-0118,PAPER-A2-200-COATEDMATTE-R,A2 Coated Matte 200 gsm Ivory qty 8 pallets,8,pallet,745.64,5965.12,0.805,
119,O-2025-0119,PAPER-A5-250-CARDSTOCK-A,A5 Cardstock 250 gsm Bright White qty 46 reams,46,ream,6.53,300.38,0.806,manual review suggested
120,O-2025-0120,PAPER-SRA3-140-UNCOATED,SRA3 Uncoated 140 gsm White qty 9 pallets,9,pallet,635.54,5719.86,0.926,manual review suggested
121,O-2025-0121,PAPER-A4-300-COPY-U,A4 Copy 300 gsm Bright White qty 11 reams,11,ream,9.85,108.35,0.936,manual review suggested
122,O-2025-0122,PAPER-A3-80-CARDSTOCK,A3 Cardstock 80 gsm White qty 13 reams,13,ream,5.79,75.27,0.944,
123,O-2025-0123,PAPER-A5-120-UNCOATED,A5 Uncoated 120 gsm Bright White qty 54 boxs,54,box,24.53,1324.62,0.755,auto-mapped
124,O-2025-0124,PAPER-A3-80-COATEDGLOSS-B,A3 Coated Gloss 80 gsm Recycled qty 30 reams,30,ream,6.38,191.4,0.923,
125,O-2025-0125,PAPER-SRA3-80-COATEDGLOSS-K,SRA3 Coated Gloss 80 gsm White qty 48 reams,48,ream,6.39,306.72,0.867,manual review suggested
126,O-2025-0126,PAPER-A5-170-UNCOATED,A5 Uncoated 170 gsm White qty 76 boxs,76,box,25.57,1943.32,0.778,
127,O-2025-0127,PAPER-SRA3-250-UNCOATED-P,SRA3 Uncoated 250 gsm Bright White qty 17 reams,17,ream,13.24,225.08,0.95,
128,O-2025-0128,PAPER-A5-90-COATEDGLOSS,A5 Coated Gloss 90 gsm Ivory qty 35 reams,35,ream,4.55,159.25,0.801,
129,O-2025-0129,PAPER-A3-170-COATEDGLOSS-W,A3 Coated Gloss 170 gsm Ivory qty 16 reams,16,ream,8.9,142.4,0.894,
130,O-2025-0130,PAPER-A3-300-COATEDGLOSS,A3 Coated Gloss 300 gsm White qty 14 rolls,14,roll,65.09,911.26,0.97,
131,O-2025-0131,PAPER-SRA3-300-COPY-W,SRA3 Copy 300 gsm Ivory qty 21 reams,21,ream,14.8,310.8,0.932,
132,O-2025-0132,PAPER-A3-100-COATEDGLOSS,A3 Coated Gloss 100 gsm Ivory qty 19 reams,19,ream,6.57,124.83,0.92,
133,O-2025-0133,PAPER-A4-160-UNCOATED-J,A4 Uncoated 160 gsm Bright White qty 11 reams,11,ream,6.85,75.35,0.85,
134,O-2025-0134,PAPER-A4-100-COATEDMATTE,A4 Coated Matte 100 gsm Bright White qty 10 reams,10,ream,5.56,55.6,0.951,
135,O-2025-0135,PAPER-SRA3-80-UNCOATED,SRA3 Uncoated 80 gsm Ivory qty 36 reams,36,ream,6.79,244.44,0.946,
136,O-2025-0136,PAPER-A2-200-COATEDMATTE-R,A2 Coated Matte 200 gsm Ivory qty 2 pallets,2,pallet,745.64,1491.28,0.851,auto-mapped
137,O-2025-0137,PAPER-A4-70-UNCOATED,A4 Uncoated 70 gsm White qty 34 reams,34,ream,5.0,170.0,0.756,
138,O-2025-0138,PAPER-SRA3-80-UNCOATED-Z,SRA3 Uncoated 80 gsm Bright White qty 44 reams,44,ream,6.34,278.96,0.832,
139,O-2025-0139,PAPER-A3-75-COPY,A3 Copy 75 gsm Bright White qty 20 boxs,20,box,28.01,560.2,0.91,auto-mapped
140,O-2025-0140,PAPER-A2-300-COATEDMATTE,A2 Coated Matte 300 gsm Recycled qty 94 boxs,94,box,77.58,7292.52,0.905,auto-mapped
141,O-2025-0141,PAPER-A3-120-COATEDGLOSS-Y,A3 Coated Gloss 120 gsm Ivory qty 8 reams,8,ream,7.83,62.64,0.978,auto-mapped
142,O-2025-0142,PAPER-A5-160-COATEDMATTE,A5 Coated Matte 160 gsm Ivory qty 7 pallets,7,pallet,487.86,3415.02,0.947,
143,O-2025-0143,PAPER-A3-170-OFFSET,A3 Offset 170 gsm White qty 78 boxs,78,box,40.33,3145.74,0.778,manual review suggested
144,O-2025-0144,PAPER-A3-170-COATEDMATTE,A3 Coated Matte 170 gsm Recycled qty 4 pallets,4,pallet,643.97,2575.88,0.854,auto-mapped
145,O-2025-0145,PAPER-SRA3-100-COATEDMATTE,SRA3 Coated Matte 100 gsm Bright White qty 38 reams,38,ream,7.27,276.26,0.954,auto-mapped
146,O-2025-0146,PAPER-A3-90-CARDSTOCK-Q,A3 Cardstock 90 gsm Recycled qty 32 boxs,32,box,29.73,951.36,0.82,
147,O-2025-0147,PAPER-A5-170-OFFSET,A5 Offset 170 gsm Ivory qty 76 boxs,76,box,25.74,1956.24,0.936,manual review suggested
148,O-2025-0148,PAPER-SRA3-160-UNCOATED,SRA3 Uncoated 160 gsm Bright White qty 74 boxs,74,box,43.53,3221.22,0.892,
149,O-2025-0149,PAPER-A3-160-CARDSTOCK-K,A3 Cardstock 160 gsm Ivory qty 28 reams,28,ream,8.86,248.08,0.9,
150,O-2025-0150,PAPER-A3-300-COPY-A,A3 Copy 300 gsm Bright White qty 32 reams,32,ream,13.47,431.04,0.773,
151,O-2025-0151,PAPER-SRA3-80-COATEDGLOSS,SRA3 Coated Gloss 80 gsm Bright White qty 17 reams,17,ream,6.72,114.24,0.767,
152,O-2025-0152,PAPER-A5-300-COATEDGLOSS,A5 Coated Gloss 300 gsm White qty 50 reams,50,ream,7.23,361.5,0.967,
153,O-2025-0153,PAPER-A5-120-COPY,A5 Copy 120 gsm Recycled qty 50 reams,50,ream,5.23,261.5,0.964,
154,O-2025-0154,PAPER-SRA3-70-CARDSTOCK,SRA3 Cardstock 70 gsm Ivory qty 8 reams,8,ream,6.54,52.32,0.917,
155,O-2025-0155,PAPER-SRA3-300-COATEDGLOSS-H,SRA3 Coated Gloss 300 gsm Recycled qty 11 reams,11,ream,15.47,170.17,0.895,auto-mapped
156,O-2025-0156,PAPER-A2-90-COATEDMATTE-P,A2 Coated Matte 90 gsm Recycled qty 17 boxs,17,box,37.49,637.33,0.854,
157,O-2025-0157,PAPER-SRA3-75-OFFSET,SRA3 Offset 75 gsm Bright White qty 100 boxs,100,box,28.58,2858.0,0.966,
158,O-2025-0158,PAPER-A3-200-CARDSTOCK-N,A3 Cardstock 200 gsm White qty 39 boxs,39,box,44.63,1740.57,0.899,auto-mapped
159,O-2025-0159,PAPER-A3-90-CARDSTOCK,A3 Cardstock 90 gsm Recycled qty 45 reams,45,ream,6.44,289.8,0.903,manual review suggested
160,O-2025-0160,PAPER-A4-80-CARDSTOCK-P,A4 Cardstock 80 gsm Recycled qty 13 rolls,13,roll,42.02,546.26,0.838,auto-mapped
161,O-2025-0161,PAPER-A5-170-CARDSTOCK,A5 Cardstock 170 gsm Recycled qty 41 reams,41,ream,5.63,230.83,0.965,auto-mapped
162,O-2025-0162,PAPER-A3-170-UNCOATED-G,A3 Uncoated 170 gsm Bright White qty 21 reams,21,ream,8.94,187.74,0.97,auto-mapped
163,O-2025-0163,PAPER-A4-200-CARDSTOCK,A4 Cardstock 200 gsm White qty 25 reams,25,ream,7.54,188.5,0.797,
164,O-2025-0164,PAPER-A5-170-COPY,A5 Copy 170 gsm Ivory qty 43 reams,43,ream,5.3,227.9,0.918,
165,O-2025-0165,PAPER-A3-300-UNCOATED,A3 Uncoated 300 gsm White qty 22 reams,22,ream,13.26,291.72,0.875,auto-mapped
166,O-2025-0166,PAPER-SRA3-160-UNCOATED-P,SRA3 Uncoated 160 gsm Bright White qty 25 reams,25,ream,9.68,242.0,0.766,
167,O-2025-0167,PAPER-A3-100-COPY,A3 Copy 100 gsm Recycled qty 37 reams,37,ream,6.76,250.12,0.977,
168,O-2025-0168,PAPER-A4-80-COPY-V,A4 Copy 80 gsm Bright White qty 35 reams,35,ream,5.19,181.65,0.843,
169,O-2025-0169,PAPER-A2-160-COATEDGLOSS,A2 Coated Gloss 160 gsm White qty 9 reams,9,ream,11.84,106.56,0.855,
170,O-2025-0170,PAPER-A2-100-COATEDMATTE-A,A2 Coated Matte 100 gsm White qty 39 reams,39,ream,8.54,333.06,0.797,auto-mapped
171,O-2025-0171,PAPER-A4-200-COATEDMATTE-W,A4 Coated Matte 200 gsm Ivory qty 10 pallets,10,pallet,592.57,5925.7,0.858,manual review suggested
172,O-2025-0172,PAPER-A5-100-COATEDMATTE-P,A5 Coated Matte 100 gsm Ivory qty 89 boxs,89,box,22.92,2039.88,0.798,auto-mapped
173,O-2025-0173,PAPER-SRA3-120-OFFSET-Z,SRA3 Offset 120 gsm Bright White qty 46 reams,46,ream,7.99,367.54,0.883,auto-mapped
174,O-2025-0174,PAPER-SRA3-160-OFFSET,SRA3 Offset 160 gsm Bright White qty 2 pallets,2,pallet,622.28,1244.56,0.889,
175,O-2025-0175,PAPER-SRA3-120-OFFSET-Z,SRA3 Offset 120 gsm Bright White qty 23 reams,23,ream,7.99,183.77,0.791,
176,O-2025-0176,PAPER-SRA3-120-COATEDMATTE-Y,SRA3 Coated Matte 120 gsm White qty 42 reams,42,ream,7.95,333.9,0.864,
177,O-2025-0177,PAPER-A4-100-COATEDGLOSS,A4 Coated Gloss 100 gsm Ivory qty 94 boxs,94,box,26.22,2464.68,0.916,
178,O-2025-0178,PAPER-A3-200-CARDSTOCK,A3 Cardstock 200 gsm White qty 24 reams,24,ream,9.69,232.56,0.893,auto-mapped
179,O-2025-0179,PAPER-A3-200-CARDSTOCK,A3 Cardstock 200 gsm White qty 38 reams,38,ream,9.69,368.22,0.76,
180,O-2025-0180,PAPER-A5-100-COATEDMATTE-P,A5 Coated Matte 100 gsm Ivory qty 70 boxs,70,box,22.92,1604.4,0.948,auto-mapped
181,O-2025-0181,PAPER-A4-75-OFFSET,A4 Offset 75 gsm Recycled qty 53 boxs,53,box,24.46,1296.38,0.845,
182,O-2025-0182,PAPER-A2-75-UNCOATED,A2 Uncoated 75 gsm White qty 43 reams,43,ream,7.44,319.92,0.865,auto-mapped
